dimension,group,hh_with_cover_pct,hh_with_cover_se,individuals_covered_pct,individuals_covered_se,hh_paid_premium_pct,hh_paid_premium_se,n
Overall,All households,1.9762968017793907,0.34043453543405594,1.0688077347989884,0.20574214246112882,0.20252994316058295,0.09808129041666436,4685
Sector,Informal,0.5736698682665486,0.19936040904015964,0.33300512757545664,0.13386900024461348,0.031621182076925165,0.03167864560507451,3876
Sector,Formal,8.02900874257482,1.4440612782164037,4.017642100190406,0.7691291534784783,0.9400471505386189,0.4895364047650636,809
Consumption quintile,Q1 (poorest),0.15453255607106686,0.09138782250414405,0.07805638192846005,0.04988384673710627,0.0,0.0,701
Consumption quintile,Q2,1.4546506233558143,0.7962887196553883,0.49865578930864873,0.21894053129547486,0.05644578790156583,0.0402671172506733,699
Consumption quintile,Q3,1.103419823835776,0.3778475021655957,0.5992355094760491,0.19935990502126855,0.20076690652016718,0.20026481950738076,808
Consumption quintile,Q4,2.2072742182592706,0.7583166834269007,1.4555041425394144,0.5583662703378509,0.07626365213219641,0.055162112550381226,1041
Consumption quintile,Q5 (richest),3.152744056851775,0.6762943423623219,2.7108035750188537,0.639380066751265,0.4179275071377226,0.26151389679927195,1436
Residence,Urban,3.0467432309439926,0.6569173099334712,1.8143959837985315,0.42939359704119867,0.24768172158225318,0.12211580245482631,1480
Residence,Rural,1.2877831087205798,0.36220214082698543,0.6422336993644621,0.20772155677505805,0.17348821172752218,0.1416547231241359,3205
Zone,North Central,2.751365747536115,1.215575575149433,1.7247982401541093,0.8234297134669875,0.16842839276221666,0.12840128463001022,804
Zone,North East,1.314954565338581,0.43772008168599774,0.6536005908566229,0.28242310267593895,0.035187140778012285,0.035671698501169545,808
Zone,North West,1.273253704708092,0.5533865499758736,0.5598700888773737,0.2874900755996179,0.0,0.0,773
Zone,South East,1.9295517877942603,0.7260495107535389,0.9898535617223555,0.40695893139759176,0.9427761775707323,0.6192377929323999,786
Zone,South South,1.9102042622617956,0.6970218347358424,1.2683179295963412,0.42116108082898196,0.08448166712118793,0.0654426023259159,762
Zone,South West,2.398658071135894,0.849006505635666,1.503947062222267,0.6092192021151634,0.09898927480997358,0.0998407532337335,752
